 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2009  3 16     0.30547     0.23744     0.15396     0.18550     0.29505     0.27211     0.25126     0.13554     0.20747     0.35309     0.29159     0.42353     0.28047     0.23609     0.34119
 2009  4 15     0.26158     0.20964     0.15603     0.16434     0.12782     0.24714     0.20916     0.13577     0.19447     0.20370     0.31348     0.40971     0.25089     0.20022     0.20557
 2009  6 15     0.24443     0.20721     0.23143         NaN         NaN     0.26041     0.21413         NaN         NaN         NaN     0.37280     0.63810     0.29906         NaN         NaN
 2009  7 16     0.22172     0.17133     0.16404     0.20455         NaN     0.23157     0.18352         NaN         NaN         NaN     0.35173     0.44451     0.21627     0.19535         NaN
 2009  8 16     0.22585     0.17723     0.17480     0.16278     0.15353     0.26419     0.17188     0.15852     0.15741         NaN     0.30836     0.43948     0.20248     0.19713     0.16120
 2009  9 15     0.30863     0.13570     0.17363     0.16413     0.12235     0.35673     0.18939     0.16847     0.19316         NaN         NaN         NaN         NaN         NaN         NaN
 2009 10 16     0.32334     0.20805     0.18673     0.17197     0.12063     0.42006     0.19339     0.15188     0.18548         NaN         NaN         NaN         NaN         NaN         NaN
 2009 11 15     0.25675     0.25071     0.27054     0.29571     0.20297     0.29983     0.20282     0.21472     0.28645     0.36215     0.37877     0.78385     0.39097     0.42479     0.25854
 2009 12 16     0.25032     0.26510     0.24588     0.33491     0.88645     0.28129     0.28741     0.32058     0.41744     1.41433     0.29548     0.62678     0.45850     0.42501     0.56635
 2010  1 16     0.25175     0.23273     0.16577     0.24256     0.59982     0.25068     0.22204     0.18932     0.48459     0.97050     0.28479     0.52943     0.40749     0.36234     0.68914
 2010  2 14     0.29163     0.23048     0.16646     0.19215     0.40480     0.23669     0.23168     0.14857     0.50072     0.72021     0.30491     0.66742     0.37373     0.37553     0.53201
 2010  3 16     0.25496     0.21900     0.17508     0.19211     0.25617     0.23000     0.21813     0.14374     0.33720     0.45956     0.32919     0.57673     0.30366     0.33957     0.38397
 2010  4 15     0.24059     0.19698     0.16559     0.15867     0.15935     0.22725     0.19206     0.13323     0.17956     0.19218     0.32239     0.54425     0.23345     0.25039     0.20108
 2010  5 16     0.23289     0.19081     0.17964     0.19875         NaN     0.23752     0.20999         NaN         NaN         NaN     0.28355     0.70335     0.26881     0.20740         NaN
 2010  6 15     0.23194     0.18622     0.16966         NaN         NaN     0.25177     0.23447         NaN         NaN         NaN     0.31068     0.92266         NaN         NaN         NaN
 2010  7 16     0.21493     0.17093     0.17169     0.20986         NaN     0.24521     0.20573         NaN         NaN         NaN     0.32082     0.81774     0.25359         NaN         NaN
 2010  8 16     0.22543     0.17075     0.17171     0.16415     0.19344     0.25498     0.18176     0.15411     0.16254         NaN     0.35008     0.57879     0.20399     0.18931     0.19413
 2010  9 15     0.23303     0.17721     0.17343     0.18043     0.23138     0.29424     0.18370     0.14785     0.15862     0.19695     0.35331     0.56706     0.23914     0.19164     0.17495
 2010 10 16     0.26230     0.18123     0.18977     0.26240     0.24983     0.34501     0.19408     0.15792     0.21431     0.20746     0.35055     0.79362     0.29900     0.34132     0.16881
 2010 11 15     0.27259     0.23461     0.28685     0.38888     0.23035     0.29374     0.22242     0.19183     0.34163     1.33054     0.33742     0.70348     0.46443     0.50670     0.31488
